	date	sensorName	time	value	worksession
416	08:01:19	hum	11:03:31	39.0	7
417	08:01:19	lum	11:03:39	135.0	8
418	08:01:19	temp	11:03:39	21.0	8
419	08:01:19	hum	11:03:39	39.0	8
420	08:01:19	lum	11:03:47	118.0	9
421	08:01:19	temp	11:03:47	21.0	9
422	08:01:19	hum	11:03:47	40.0	9
423	08:01:19	lum	11:03:55	108.0	9
424	08:01:19	temp	11:03:55	21.0	9
425	08:01:19	hum	11:03:55	40.0	9
426	08:01:19	lum	11:04:03	137.0	9
427	08:01:19	temp	11:04:03	21.0	9
428	08:01:19	hum	11:04:03	40.0	9
429	08:01:19	lum	11:04:11	130.0	9
430	08:01:19	temp	11:04:11	21.0	9
431	08:01:19	hum	11:04:11	40.0	9
432	08:01:19	lum	11:04:19	129.0	9
433	08:01:19	temp	11:04:19	21.0	9
434	08:01:19	hum	11:04:19	42.0	9
435	08:01:19	lum	11:04:27	139.0	9
436	08:01:19	temp	11:04:27	21.0	9
437	08:01:19	hum	11:04:27	40.0	9
438	08:01:19	lum	11:04:35	129.0	9
439	08:01:19	temp	11:04:35	21.0	9
440	08:01:19	hum	11:04:35	39.0	9
441	08:01:19	lum	11:04:43	137.0	9
442	08:01:19	temp	11:04:43	21.0	9
443	08:01:19	hum	11:04:43	39.0	9
444	08:01:19	lum	11:04:51	148.0	9
445	08:01:19	temp	11:04:51	21.0	9
446	08:01:19	hum	11:04:51	40.0	9
447	08:01:19	lum	11:04:59	125.0	9
448	08:01:19	temp	11:04:59	21.0	9
449	08:01:19	hum	11:04:59	39.0	9
450	08:01:19	lum	11:05:07	129.0	9
451	08:01:19	temp	11:05:07	21.0	9
452	08:01:19	hum	11:05:07	39.0	9
453	08:01:19	lum	11:05:15	143.0	9
454	08:01:19	temp	11:05:15	21.0	9
455	08:01:19	hum	11:05:15	40.0	9
456	08:01:19	lum	11:05:23	154.0	9
457	08:01:19	temp	11:05:23	21.0	9
458	08:01:19	hum	11:05:23	40.0	9
459	08:01:19	lum	11:05:31	145.0	9
460	08:01:19	temp	11:05:31	21.0	9
461	08:01:19	hum	11:05:31	39.0	9
462	08:01:19	lum	11:05:39	118.0	9
463	08:01:19	temp	11:05:39	21.0	9
464	08:01:19	hum	11:05:39	39.0	9
465	08:01:19	lum	11:05:47	142.0	9
466	08:01:19	temp	11:05:47	21.0	9
467	08:01:19	hum	11:05:47	39.0	9
468	08:01:19	lum	11:05:55	142.0	9
469	08:01:19	temp	11:05:55	21.0	9
470	08:01:19	hum	11:05:55	40.0	9
471	08:01:19	lum	11:06:03	144.0	9
472	08:01:19	temp	11:06:03	21.0	9
473	08:01:19	hum	11:06:03	39.0	9
474	08:01:19	lum	11:06:11	136.0	9
475	08:01:19	temp	11:06:11	21.0	9
476	08:01:19	hum	11:06:11	39.0	9
477	08:01:19	lum	11:06:19	152.0	9
478	08:01:19	temp	11:06:19	21.0	9
479	08:01:19	hum	11:06:19	39.0	9
480	08:01:19	lum	11:06:27	147.0	9
481	08:01:19	temp	11:06:27	21.0	9
482	08:01:19	hum	11:06:27	39.0	9
483	08:01:19	lum	11:06:35	131.0	9
484	08:01:19	temp	11:06:35	21.0	9
485	08:01:19	hum	11:06:35	39.0	9
486	08:01:19	lum	11:06:43	134.0	9
487	08:01:19	temp	11:06:43	21.0	9
488	08:01:19	hum	11:06:43	39.0	9
489	08:01:19	lum	11:06:51	138.0	9
490	08:01:19	temp	11:06:51	21.0	9
491	08:01:19	hum	11:06:51	38.0	9
492	08:01:19	lum	11:06:59	136.0	9
493	08:01:19	temp	11:06:59	21.0	9
494	08:01:19	hum	11:06:59	39.0	9
495	08:01:19	lum	11:07:07	144.0	9
496	08:01:19	temp	11:07:07	21.0	9
497	08:01:19	hum	11:07:07	39.0	9
498	08:01:19	lum	11:07:15	143.0	9
499	08:01:19	temp	11:07:15	21.0	9
500	08:01:19	hum	11:07:15	39.0	9
501	08:01:19	lum	11:07:23	145.0	9
502	08:01:19	temp	11:07:23	21.0	9
503	08:01:19	hum	11:07:23	39.0	9
504	08:01:19	lum	11:07:31	136.0	9
505	08:01:19	temp	11:07:31	21.0	9
506	08:01:19	hum	11:07:31	38.0	9
507	08:01:19	lum	11:07:39	140.0	9
508	08:01:19	temp	11:07:39	21.0	9
509	08:01:19	hum	11:07:39	38.0	9
510	08:01:19	lum	11:07:47	148.0	9
511	08:01:19	temp	11:07:47	21.0	9
512	08:01:19	hum	11:07:47	39.0	9
513	08:01:19	lum	11:07:55	152.0	9
514	08:01:19	temp	11:07:55	21.0	9
515	08:01:19	hum	11:07:55	39.0	9
516	08:01:19	lum	11:08:03	145.0	9
517	08:01:19	temp	11:08:03	21.0	9
518	08:01:19	hum	11:08:03	39.0	9
519	08:01:19	lum	11:08:11	151.0	9
520	08:01:19	temp	11:08:11	21.0	9
521	08:01:19	hum	11:08:11	39.0	9
522	08:01:19	lum	11:08:19	152.0	9
523	08:01:19	temp	11:08:19	21.0	9
524	08:01:19	hum	11:08:19	39.0	9
525	08:01:19	lum	11:08:27	141.0	9
526	08:01:19	temp	11:08:27	21.0	9
527	08:01:19	hum	11:08:27	39.0	9
528	08:01:19	lum	11:08:35	149.0	9
529	08:01:19	temp	11:08:35	21.0	9
530	08:01:19	hum	11:08:35	39.0	9
531	08:01:19	lum	11:08:43	159.0	9
532	08:01:19	temp	11:08:43	21.0	9
533	08:01:19	hum	11:08:43	40.0	9
534	08:01:19	lum	11:08:51	151.0	9
535	08:01:19	temp	11:08:51	21.0	9
536	08:01:19	hum	11:08:51	40.0	9
537	08:01:19	lum	11:08:59	166.0	9
538	08:01:19	temp	11:08:59	21.0	9
539	08:01:19	hum	11:08:59	40.0	9
540	08:01:19	lum	11:09:07	160.0	9
541	08:01:19	temp	11:09:07	21.0	9
542	08:01:19	hum	11:09:07	39.0	9
543	08:01:19	lum	11:09:15	167.0	9
544	08:01:19	temp	11:09:15	21.0	9
545	08:01:19	hum	11:09:15	39.0	9
546	08:01:19	lum	11:09:23	150.0	9
547	08:01:19	temp	11:09:23	21.0	9
548	08:01:19	hum	11:09:23	39.0	9
549	08:01:19	lum	11:09:31	156.0	9
550	08:01:19	temp	11:09:31	21.0	9
551	08:01:19	hum	11:09:31	39.0	9
552	08:01:19	lum	11:09:39	144.0	9
553	08:01:19	temp	11:09:39	21.0	9
554	08:01:19	hum	11:09:39	39.0	9
555	08:01:19	lum	11:09:47	155.0	9
556	08:01:19	temp	11:09:47	21.0	9
557	08:01:19	hum	11:09:47	39.0	9
558	08:01:19	lum	11:09:55	125.0	9
559	08:01:19	temp	11:09:55	21.0	9
560	08:01:19	hum	11:09:55	39.0	9
561	08:01:19	lum	11:10:03	124.0	9
562	08:01:19	temp	11:10:03	21.0	9
563	08:01:19	hum	11:10:03	39.0	9
564	08:01:19	lum	11:10:11	130.0	9
565	08:01:19	temp	11:10:11	21.0	9
566	08:01:19	hum	11:10:11	39.0	9
567	08:01:19	lum	11:10:19	133.0	9
568	08:01:19	temp	11:10:19	21.0	9
569	08:01:19	hum	11:10:19	39.0	9
570	08:01:19	lum	11:10:27	164.0	9
571	08:01:19	temp	11:10:27	21.0	9
572	08:01:19	hum	11:10:27	39.0	9
573	08:01:19	lum	11:10:35	159.0	9
574	08:01:19	temp	11:10:35	21.0	9
575	08:01:19	hum	11:10:35	39.0	9
576	08:01:19	lum	11:10:43	163.0	9
577	08:01:19	temp	11:10:43	21.0	9
578	08:01:19	hum	11:10:43	39.0	9
579	08:01:19	lum	11:10:51	47.0	9
580	08:01:19	temp	11:10:51	21.0	9
581	08:01:19	hum	11:10:51	39.0	9
582	08:01:19	lum	11:10:59	22.0	9
583	08:01:19	temp	11:10:59	21.0	9
584	08:01:19	hum	11:10:59	38.0	9
585	08:01:19	lum	11:11:07	156.0	9
586	08:01:19	temp	11:11:07	21.0	9
587	08:01:19	hum	11:11:07	39.0	9
588	08:01:19	lum	11:11:15	151.0	9
589	08:01:19	temp	11:11:15	21.0	9
590	08:01:19	hum	11:11:15	40.0	9
591	08:01:19	lum	11:11:23	146.0	9
592	08:01:19	temp	11:11:23	21.0	9
593	08:01:19	hum	11:11:23	40.0	9
594	08:01:19	lum	11:11:31	133.0	9
595	08:01:19	temp	11:11:31	21.0	9
596	08:01:19	hum	11:11:31	39.0	9
597	08:01:19	lum	11:11:39	137.0	9
598	08:01:19	temp	11:11:39	21.0	9
599	08:01:19	hum	11:11:39	39.0	9
600	08:01:19	lum	11:11:47	124.0	9
601	08:01:19	temp	11:11:47	21.0	9
602	08:01:19	hum	11:11:47	40.0	9
603	08:01:19	lum	11:11:55	150.0	9
604	08:01:19	temp	11:11:55	21.0	9
